Date,Privately owned apartments,Privately owned apartments,Privately owned apartments,Privately owned apartments,Privately owned apartments,Single-family houses,Single-family houses,Single-family houses,Single-family houses,Single-family houses,Apartment buildings,Apartment buildings,Apartment buildings
2009/01/01,,144.22,136.6181411,142.2582045,141.4675948,,129.94,129.7438882,127.7558879,130.8935258,,99.20200638,96.62017993
2009/04/01,,145.5,136.9133666,145.1795095,140.9484598,,131.02,129.3558401,129.1582011,129.9434755,,96.8004256,97.57319461
2009/07/01,,146.98,136.3229156,147.3944576,141.8582865,,129.87,129.6953822,130.4386388,129.3670688,,97.72761818,96.66857306
2009/10/01,,151.33,136.8522855,149.0049459,144.4038399,,132.51,129.9864183,133.4009233,128.220691,,99.68840249,98.52620928
2010/01/01,,158.71,137.3409345,151.0865392,147.298926,,136.9,129.5498642,133.9944549,130.9385862,100,100,100
2010/04/01,,160.53,137.3409345,152.8304063,148.8980806,,142.96,130.16104,135.0236164,131.6825179,99.91560115,100.4711962,100.7984866
2010/07/01,,170.77,137.5139978,153.7125961,152.2652587,,145.3,131.0050446,137.0232699,133.1712555,100.2384423,100.9727922,101.0591496
2010/10/01,,167.04,137.0457091,156.7712481,153.1623931,,144.93,129.6565774,139.0447697,136.767366,99.71102575,102.0519836,101.556279
2011/01/01,,168.37,136.292375,158.7544675,160.0071464,,148.88,130.1804424,139.851183,138.4978797,101.7862234,102.9259766,102.9079871
2011/04/01,,170.95,141.4018121,159.6842615,161.2856607,,149.45,134.1579356,141.2759764,141.6000602,102.3358214,107.1568627,106.4269374
2011/07/01,,174.2,146.4623842,160.1980891,166.6305881,,148.28,138.5428793,142.1110458,142.6180904,102.2107251,108.2003344,107.7055058
2011/10/01,,172.88,151.1758119,165.3982177,165.7345072,,149.38,142.3942569,144.2609827,143.7950356,103.1310015,110.5563155,108.6343239
2012/01/01,,175.84,156.8665377,168.8216606,170.9769543,,151.67,150.2134265,146.3235625,146.3900702,113.8459888,113.9078887,110.2472449
2012/04/01,,179.35,159.1469001,166.1229885,173.0198728,,153.97,152.629026,145.6861108,148.1423243,114.7854558,115.5874753,109.5383955
2012/07/01,,183.93,162.526723,170.2676403,176.5153984,,155.28,153.2790066,147.2033345,149.4409744,114.7782988,114.0902873,108.7811531
2012/10/01,,188.76,165.0717703,171.8933566,176.9412991,,155.55,155.9468374,149.502189,149.9385593,114.1248404,115.8914729,115.3543697
2013/01/01,,199.17,169.948081,173.6551311,181.7795361,,165.22,156.8684517,151.6020332,151.370957,120.2643402,118.5134519,114.2055828
2013/04/01,,201.86,171.4445689,174.2363675,182.0188158,,165.84,157.5960419,153.6314981,153.3360172,121.0793271,120.1170391,114.3766085
2013/07/01,,199.34,173.0021378,175.6850149,183.4931812,,164.08,158.556461,154.5840238,152.536936,122.7517888,121.0290318,115.2729812
2013/10/01,,203.26,173.6842105,176.1994194,185.2497182,,167.25,160.0213426,156.3815863,154.3553725,122.8347399,122.3134215,117.1542641
2014/01/01,,208.57,174.7022295,177.5606869,185.9403206,,169.33,160.2444703,154.8417852,155.0066837,123.659982,123.9246086,119.9726139
2014/04/01,,207.23,177.1047541,178.9051104,187.5576681,,171.01,161.9421808,155.8585419,157.5171379,124.9241564,124.6770026,122.6034403
2014/07/01,,208.95,177.9497099,179.6765498,188.5128838,,169.2,163.3197516,156.3978286,156.2450899,124.296502,128.2945736,125.1446295
2014/10/01,,208.87,178.7030439,179.3268269,189.7485458,,168.82,163.2324408,157.0322117,159.4623813,124.7869167,128.0589755,124.4445789
2015/01/01,,208.3,178.8557467,180.7521227,192.0640438,,170.03,164.1249515,158.7329733,160.6654938,130.9659662,128.0285758,127.4905963
2015/04/01,,208.68,179.3749364,181.7243526,190.1973483,,173.91,164.8331393,159.3573641,160.9742271,131.9479852,127.8081775,130.4640241
2015/07/01,,212.28,178.9982694,181.7548131,190.9845361,,176.47,165.1435778,159.5370173,161.0451327,131.2960011,127.754978,132.3293592
2015/10/01,,212.55,180.912145,182.2490524,191.3649919,,172.4,164.3577804,160.6281658,161.9692588,129.9515399,127.7017784,146.0295638
2016/01/01,,216.09,182.8667413,182.6104004,193.8093058,,172.05,164.7361273,160.7352816,163.7488726,138.7411449,128.1577747,142.7223334
2016/04/01,,208.8,184.2308867,182.2415476,189.1448238,,174.5,164.4062864,161.2164515,164.5301407,139.8199336,127.6713786,142.9587999
2016/07/01,,208.84,187.0609793,184.2585966,187.2243692,,169.23,165.5219247,161.7146319,164.1560015,138.9571887,127.6713786,141.6554849
2016/10/01,,205.87,188.0179171,184.4313629,185.5296323,,171.94,166.8994955,162.9614614,162.7232108,139.2268046,127.9221766,144.2214206
2017/01/01,,195.8,189.8096305,184.6466366,185.7876196,,162.26,167.9278231,164.6244674,164.4137923,138.042457,129.99696,146.330921
2017/04/01,,197.19,190.9192711,184.9037268,187.4279478,,164.83,169.0628638,164.8020478,166.9545446,136.9379951,131.3269494,148.4404215
2017/07/01,,202.57,190.5120635,182.854039,189.7849406,,168.36,170.7896779,165.5947609,167.238456,147.4284099,133.4093327,144.9951607
2017/10/01,,210.27,191.5504428,182.6698394,191.7214066,,166.96,172.2836632,167.1222537,169.2280057,149.6301904,135.6437149,145.9723719
2018/01/01,,213.37,192.8636873,181.0124404,192.3568154,,172.41,173.185875,167.2924609,168.848083,153.1193696,138.0680955,146.5750863
2018/04/01,,215.87,192.8331467,180.1823078,193.0941401,,173.01,175.6596818,166.981138,171.3182382,152.5953397,138.9420885,145.809595
