Date,Average of M% Mortgages Var Int.Rates - NL BR (CHF 50k - 100k) ,Sum of N Loan Mortgages Var Int.Rates - NL BR (CHF 50k - 100k) ,Average of M% Mortgages Var Int.Rates - NL BR (CHF 100k - 500k),Sum of N Loan Mortgages Var Int.Rates - NL BR (CHF 100k - 500k),Average of  M% Mortgages Var Int.Rates - NL BR (CHF 500k - 1 Mio),Sum of N Loan Mortgages Var Int.Rates - NL BR (CHF 500k - 1 Mio),Average of  M% Mortgages Var Int.Rates - NL BR (CHF 1 Mio - 5 Mio),Sum of N Loan Mortgages Var Int.Rates - NL BR (CHF 1 Mio - 5 Mio),Average of M% Mortgages Var Int.Rates - NL BR (CHF 5 Mio - 15 Mio),Sum of N Loan Mortgages Var Int.Rates - NL BR (CHF 5 Mio - 15 Mio),Average of M% Mortgages Var Int.Rates - Linked BR (CHF 50k - 100k) ,Sum of N Loan Mortgages Var Int.Rates - Linked BR (CHF 50k - 100k) ,Average of M% Mortgages Var Int.Rates - Linked BR (CHF 100k - 500k),Sum of N Loan Mortgages Var Int.Rates - Linked BR (CHF 100k - 500k),Average of M% Mortgages Var Int.Rates - Linked BR (CHF 500k - 1 Mio),Sum of N Loan Mortgages Var Int.Rates - Linked BR (CHF 500k - 1 Mio),Average of M% Mortgages Var Int.Rates - Linked BR (CHF 1 Mio - 5 Mio),Sum of N Loan Mortgages Var Int.Rates - Linked BR (CHF 1 Mio - 5 Mio),Average of M% Mortgages Var Int.Rates - Linked BR (CHF 5 Mio - 15 Mio),Sum of N Loan Mortgages Var Int.Rates - Linked BR (CHF 5 Mio - 15 Mio),Average of M% Mortgages with fixed interest rates (CHF 50k - 100k) ,Sum of N Loan Mortgages with fixed interest rates (CHF 50k - 100k) ,Average of M% Mortgages with fixed interest rates (CHF 100k - 500k),Sum of N Loan Mortgages with fixed interest rates (CHF 100k - 500k),Average of M% Mortgages with fixed interest rates (CHF 500k - 1 Mio),Sum of N Loan Mortgages with fixed interest rates  (CHF 500k - 1 Mio),Average of M% Mortgages with fixed interest rates (CHF 1 Mio - 5 Mio),Sum of N Loan Mortgages with fixed interest rates (CHF 1 Mio - 5 Mio),Average of M% Mortgages with fixed interest rates (CHF 5 Mio - 15 Mio),Sum of N Loan Mortgages with fixed interest rates (CHF 5 Mio - 15 Mio)
01.01.09,2.875,1180,2.875,2447,2.875,415,2.8625,202,,,1.4625,30,1.18625,302,1.12665,144,0.95083,171,0.93,12,2.2625,289,2.4225,1858,2.375,466,2.365,456,2.075,63
01.04.09,2.875,1880,2.875,4109,2.866666667,654,2.858333333,297,,,1.336666667,53,1.188333333,491,1.115,258,1.036666667,228,1.0125,21,2.213333333,377,2.416666667,2187,2.376666667,625,2.293333333,571,1.71,77
01.07.09,2.875,1606,2.875,3313,2.875,478,2.825,202,,,1.268333333,70,1.2045,633,1.083333333,363,0.986666667,378,1.00875,26,2.25,414,2.416666667,2426,2.396666667,729,2.291666667,575,1.845,80
01.10.09,2.875,889,2.875,1732,2.833333333,247,2.833333333,130,,,1.323333333,51,1.216666667,554,1.09,288,0.97,338,0.890833333,41,2.19,372,2.375,2150,2.333333333,618,2.216666667,541,1.866666667,71
01.01.10,2.875,2117,2.875,3715,2.875,555,2.791666667,249,2.25,11,1.251666667,64,1.133333333,467,1.055666667,204,0.915303333,220,0.975,21,2.1,388,2.285,1989,2.233333333,529,2.125,535,1.69,73
01.04.10,2.875,791,2.875,1454,2.825,273,2.875,143,,,1.138,62,1.103333333,465,0.99,204,0.911943333,257,0.9,11,2.073333333,378,2.133333333,1980,2.145833333,628,2.081666667,595,1.908166667,71
01.07.10,2.875,1132,2.875,2129,2.866666667,347,2.825,174,,,1.106666667,65,1.142666667,677,1.053766667,356,0.933333333,374,0.853333333,49,1.936666667,507,2.083333333,2804,2.095,791,1.926666667,700,1.905,87
01.10.10,2.875,582,2.875,1046,2.825,178,2.75,113,,,1.176666667,80,1.161333333,715,1.09,326,0.966333333,316,0.835,28,1.966666667,581,2.108333333,3020,2.091666667,769,1.9,689,1.921666667,62
01.01.11,2.875,1042,2.875,1793,2.866666667,316,2.791666667,178,,,1.180666667,56,1.147633333,653,1.069166667,270,0.979186667,315,0.83,34,2.065,411,2.283333333,2334,2.25,665,1.9575,588,1.491666667,67
01.04.11,2.875,694,2.866666667,1115,2.833333333,188,2.8,99,,,1.1125,76,1.035666667,696,0.982666667,326,0.878333333,372,0.763,30,1.878333333,415,1.933333333,2065,1.9,677,1.743333333,593,1.085,75
01.07.11,2.875,935,2.875,1422,2.870833333,208,2.8,105,,,1.166666667,91,1.033333333,908,0.935333333,504,0.85,542,0.751666667,60,1.75,533,1.766666667,2780,1.696666667,737,1.633333333,739,1.241833333,89
01.10.11,2.875,573,2.875,870,2.875,167,2.791666667,66,,,1.16,137,1.071766667,1087,0.970666667,414,0.890333333,426,0.833223333,46,1.583333333,514,1.633333333,2771,1.683333333,707,1.516666667,635,1.4345,92
01.01.12,2.875,575,2.875,885,2.791666667,169,2.75,106,,,1.307666667,136,1.126666667,927,1.015,352,0.976666667,354,0.8225,57,1.583333333,486,1.606666667,2223,1.65,684,1.553333333,634,1.391666667,92
01.04.12,2.870833333,497,2.833333333,804,2.75,155,2.825,113,,,1.246666667,187,1.127333333,1012,1.02,421,0.889166667,423,0.828833333,71,1.483333333,389,1.6,1900,1.608333333,592,1.4075,598,1.375333333,95
01.07.12,2.875,684,2.791666667,1091,2.783333333,211,2.75,125,,,1.175,147,1.055,1096,0.9645,458,0.886666667,479,0.751333333,54,1.475,510,1.533333333,2452,1.6,758,1.483333333,675,1.204,94
01.10.12,2.866666667,411,2.791666667,703,2.791666667,141,2.75,99,,,1.173333333,120,1.018,964,0.944133333,381,0.854,466,0.765333333,56,1.566666667,568,1.653333333,2732,1.65,734,1.548333333,611,1.336666667,92
01.01.13,2.875,518,2.75,864,2.708333333,202,2.708333333,143,,,1.205,139,1.06,989,1,403,0.906666667,365,0.906333333,48,1.55,418,1.666666667,2172,1.653333333,571,1.566666667,520,1.407833333,80
01.04.13,2.833333333,508,2.791666667,815,2.791666667,186,2.75,147,,,1.226333333,205,1.086,1242,1.003333333,442,0.941,430,0.886666667,60,1.733333333,425,1.8,1779,1.783333333,534,1.67,484,1.215333333,94
01.07.13,2.875,513,2.825,858,2.75,228,2.75,138,,,1.189666667,209,1.063233333,1422,1.0145,529,0.913833333,552,0.849,69,1.67,487,1.75,2162,1.738333333,634,1.516666667,582,1.222,79
01.10.13,2.791666667,390,2.766666667,614,2.75,152,2.75,103,,,1.118333333,138,1.064233333,1171,1.002566667,488,0.956666667,410,0.8625,33,1.658333333,512,1.7,2346,1.673333333,610,1.558333333,580,1.371666667,95
01.01.14,2.833333333,465,2.783333333,677,2.75,178,2.75,128,2.625,12,1.186666667,207,1.073133333,1235,1.039,472,0.953,459,0.902,57,1.516666667,391,1.576666667,1947,1.561666667,545,1.403333333,516,1.243333333,80
01.04.14,2.866666667,486,2.791666667,747,2.75,181,2.729166667,147,,,1.308333333,205,1.085466667,1212,1.004333333,439,0.973333333,397,0.911,43,1.465,378,1.548333333,1731,1.51,510,1.383333333,536,1.145,83
01.07.14,2.783333333,526,2.75,855,2.75,187,2.75,160,,,1.148766667,207,1.07,1312,1.000333333,530,0.95,540,0.876666667,90,1.45,481,1.446666667,2165,1.465,639,1.343333333,645,1.235,80
01.10.14,2.833333333,367,2.783333333,594,2.75,130,2.75,118,,,1.2,155,1.046666667,1103,0.976666667,412,0.915,515,0.8,69,1.336666667,477,1.366666667,2315,1.316666667,659,1.2175,669,1.026666667,88
01.01.15,2.825,508,2.783333333,790,2.75,183,2.666666667,151,,,1.196666667,180,1.086666667,1111,1,436,0.961666667,437,0.756666667,53,1.353333333,413,1.413333333,1984,1.431666667,601,1.248333333,508,1.016666667,64
01.04.15,2.875,448,2.75,750,2.75,175,2.708333333,126,,,1.215,218,1.1,1227,1.006666667,455,1,405,1.12,11,1.316666667,359,1.431666667,1746,1.386666667,533,1.316666667,500,1.1,64
01.07.15,2.791666667,453,2.75,693,2.708333333,191,2.666666667,142,2.75,10,1.193333333,183,1.076833333,1283,1.016666667,514,0.983333333,466,0.933333333,62,1.333333333,494,1.388333333,2205,1.42,572,1.333333333,509,1.12,50
01.10.15,2.791666667,653,2.75,868,2.75,155,2.75,109,,,1.125433333,142,1.05,967,0.998333333,397,0.961666667,368,1.04,34,1.295,473,1.350833333,2041,1.313333333,499,1.266666667,437,1.025,56
01.01.16,2.75,454,2.75,767,2.75,174,2.708333333,146,,,1.218333333,179,1.083333333,1056,1,403,1,336,1.2,30,1.25,378,1.32,1841,1.311666667,504,1.243333333,411,0.975,42
01.04.16,2.833333333,385,2.75,626,2.708333333,181,2.75,158,,,1.156666667,167,1.07,1083,1.013333333,418,1,314,0.925,30,1.26,341,1.295,1652,1.233333333,476,1.216666667,443,1.041666667,64
01.07.16,2.75,490,2.75,779,2.75,200,2.75,149,,,1.198333333,179,1.03,1163,0.99,419,0.966666667,384,0.95,44,1.226666667,464,1.283333333,2093,1.283333333,560,1.273333333,499,1.108333333,79
01.10.16,2.75,566,2.75,821,2.708333333,149,2.75,114,,,1.13,115,1.016666667,878,0.9825,353,0.916666667,274,0.966666667,37,1.23,434,1.268333333,2015,1.273333333,503,1.246666667,458,1.161666667,76
01.01.17,2.791666667,426,2.75,621,2.708333333,138,2.733333333,156,,,1.12,133,1,1012,0.95,375,0.925,337,0.775,26,1.233333333,401,1.275,1867,1.253333333,467,1.25,468,1.123333333,58
01.04.17,2.791666667,426,2.75,674,2.75,166,2.708333333,143,2.625,11,1.185,182,1,1005,0.966666667,383,0.92,327,0.9125,31,1.213333333,299,1.28,1565,1.278333333,456,1.23,419,1.156666667,60
01.07.17,2.75,676,2.75,900,2.75,204,2.75,164,,,1.15,169,0.983333333,1004,0.943333333,416,0.916666667,382,0.913333333,47,1.19,443,1.284166667,2053,1.246666667,629,1.233333333,484,1.158333333,72
01.10.17,2.791666667,308,2.75,512,2.75,158,2.75,130,,,1.003333333,157,1,948,0.916666667,377,0.9,350,0.925,34,1.268333333,453,1.3,2094,1.273333333,567,1.22,506,1.066666667,64
01.01.18,2.791666667,251,2.75,486,2.75,145,2.708333333,133,,,1.093333333,151,1,853,0.946666667,341,0.9,299,1.05,32,1.316666667,381,1.3,1725,1.366666667,472,1.18,469,1.121666667,63
