Date,Real Estate Prices
01.01.09,257000
01.04.09,273400
01.07.09,274100
01.10.09,272900
01.01.10,275300
01.04.10,268800
01.07.10,266000
01.10.10,278000
01.01.11,268100
01.04.11,267600
01.07.11,263000
01.10.11,259700
01.01.12,278000
01.04.12,282700
01.07.12,294500
01.10.12,297700
01.01.13,307400
01.04.13,320400
01.07.13,324400
01.10.13,334400
01.01.14,331400
01.04.14,340600
01.07.14,340400
01.10.14,369400
01.01.15,348000
01.04.15,339700
01.07.15,347400
01.10.15,366700
01.01.16,357000
01.04.16,357900
01.07.16,358800
01.10.16,364900
01.01.17,374800
01.04.17,376900
01.07.17,373200
01.10.17,399700
01.01.18,374600
01.04.18,378400
01.07.18,392900
01.10.18,384000
01.01.19,375500
01.04.19,376700
01.07.19,382700
01.10.19,384600
01.01.20,383000
01.04.20,374500
01.07.20,397800
01.10.20,403900
01.01.21,418600
01.04.21,440600
01.07.21,473000
01.10.21,497300
01.01.22,514100
01.04.22,527500
01.07.22,542900
