Date,mortgage.30y,mortgage.15y
1991/07/01,9.273076923,8.69
1991/10/01,8.69,8.295384615
1992/01/01,8.688461538,8.297692308
1992/04/01,8.677692308,8.281538462
1992/07/01,8.017692308,7.533076923
1992/10/01,8.192142857,7.687142857
1993/01/01,7.723333333,7.223333333
1993/04/01,7.453076923,6.936153846
1993/07/01,7.087692308,6.604615385
1993/10/01,7.046428571,6.573571429
1994/01/01,7.295833333,6.800833333
1994/04/01,8.427692308,7.919230769
1994/07/01,8.594285714,8.092857143
1994/10/01,9.105384615,8.633076923
1995/01/01,8.785384615,8.410769231
1995/04/01,7.917692308,7.451538462
1995/07/01,7.696153846,7.199230769
1995/10/01,7.339230769,6.866153846
1996/01/01,7.272307692,6.768461538
1996/04/01,8.102307692,7.613846154
1996/07/01,8.146923077,7.666923077
1996/10/01,7.703076923,7.216923077
1997/01/01,7.793076923,7.296923077
1997/04/01,7.926923077,7.461538462
1997/07/01,7.47,7.013846154
1997/10/01,7.205384615,6.763846154
1998/01/01,7.05,6.646153846
1998/04/01,7.097692308,6.746923077
1998/07/01,6.872307692,6.552307692
1998/10/01,6.764285714,6.413571429
1999/01/01,6.8775,6.5125
1999/04/01,7.181538462,6.795384615
1999/07/01,7.786153846,7.396923077
1999/10/01,7.840714286,7.454285714
2000/01/01,8.256923077,7.853846154
2000/04/01,8.316153846,7.991538462
2000/07/01,8.02,7.733076923
2000/10/01,7.620769231,7.294615385
2001/01/01,7.006923077,6.589230769
2001/04/01,7.13,6.66
2001/07/01,6.963846154,6.506923077
2001/10/01,6.770769231,6.253076923
2002/01/01,6.971538462,6.461538462
2002/04/01,6.813076923,6.286153846
2002/07/01,6.289230769,5.712307692
2002/10/01,6.075384615,5.470769231
2003/01/01,5.840769231,5.204615385
2003/04/01,5.506923077,4.867692308
2003/07/01,6.033846154,5.356923077
2003/10/01,5.919285714,5.248571429
2004/01/01,5.5975,4.8975
2004/04/01,6.106153846,5.46
2004/07/01,5.894285714,5.291428571
2004/10/01,5.736153846,5.145384615
2005/01/01,5.768461538,5.277692308
2005/04/01,5.708461538,5.276153846
2005/07/01,5.763846154,5.346153846
2005/10/01,6.226153846,5.771538462
2006/01/01,6.246923077,5.855384615
2006/04/01,6.602307692,6.228461538
2006/07/01,6.56,6.22
2006/10/01,6.243846154,5.961538462
2007/01/01,6.214615385,5.950769231
2007/04/01,6.358461538,6.056153846
2007/07/01,6.551538462,6.215384615
2007/10/01,6.224615385,5.878461538
2008/01/01,5.872307692,5.375384615
2008/04/01,6.086923077,5.653846154
2008/07/01,6.322307692,5.886153846
2008/10/01,5.841428571,5.557857143
2009/01/01,5.06,4.709166667
2009/04/01,5.012307692,4.628461538
2009/07/01,5.162307692,4.606153846
2009/10/01,4.922142857,4.377142857
2010/01/01,4.995833333,4.3775
2010/04/01,4.922307692,4.3
2010/07/01,4.447142857,3.92
2010/10/01,4.436153846,3.82
2011/01/01,4.846923077,4.123846154
2011/04/01,4.650769231,3.844615385
2011/07/01,4.291538462,3.473076923
2011/10/01,4.002307692,3.295384615
2012/01/01,3.922307692,3.187692308
2012/04/01,3.794615385,3.042307692
2012/07/01,3.553846154,2.837692308
2012/10/01,3.359230769,2.67
2013/01/01,3.496923077,2.736923077
2013/04/01,3.672307692,2.84
2013/07/01,4.44,3.480769231
2013/10/01,4.293076923,3.345384615
2014/01/01,4.364615385,3.403076923
2014/04/01,4.227692308,3.313846154
2014/07/01,4.135384615,3.261538462
2014/10/01,3.963571429,3.174285714
2015/01/01,3.716666667,3.010833333
2015/04/01,3.819230769,3.056153846
2015/07/01,3.954615385,3.150769231
2015/10/01,3.897857143,3.123571429
2016/01/01,3.738461538,3.022307692
2016/04/01,3.589230769,2.850769231
2016/07/01,3.446153846,2.75
2016/10/01,3.842307692,3.1
2017/01/01,4.173076923,3.395384615
2017/04/01,3.98,3.237692308
2017/07/01,3.883846154,3.166153846
2017/10/01,3.922307692,3.290769231
2018/01/01,4.282307692,3.74
2018/04/01,4.544615385,4.014615385
2018/07/01,4.566923077,4.033846154
2018/10/01,4.784615385,4.212307692
2019/01/01,4.373846154,3.815384615
2019/04/01,4.010769231,3.464615385
2019/07/01,3.658461538,3.129230769
2019/10/01,3.7,3.157692308
2020/01/01,3.521538462,2.983076923
2020/04/01,3.239230769,2.707692308
2020/07/01,2.952307692,2.464615385
2020/10/01,2.760714286,2.288571429
2021/01/01,2.875833333,2.276666667
2021/04/01,3.003846154,2.309230769
2021/07/01,2.872142857,2.171428571
2021/10/01,3.079230769,2.338461538
2022/01/01,3.822307692,3.044615385
2022/04/01,5.266153846,4.450769231
2022/07/01,5.623076923,4.880769231
2022/10/01,6.764,6.056
