Date,zillow.AllHomes.PriceIndex.Prices,zillow.Single.Familys.PriceIndex.Prices,zillow.Condos.PriceIndex.Prices,zillow.1Room.Prices,zillow.5RoomsPlus.Price
31.01.00,112945.07,114444.65,114444.65,80441.78827,235361.25
29.02.00,113259.95,114764.08,114764.08,80638.23151,235993.95
31.03.00,113508.07,115015.12,115015.12,80853.55305,236673.1
30.04.00,114363.83,115897.54,115897.54,81317.64952,238212.86
31.05.00,115189.29,116745.37,116745.37,82131.55911,239564.57
30.06.00,115728.76,117292.96,117292.96,82644.77316,241064.96
31.07.00,116428.59,118032.45,118032.45,83298.15605,242463.62
31.08.00,117108.67,118722.97,118722.97,83854.98726,243919.79
30.09.00,117767.43,119393.14,119393.14,84449.95541,245414.93
31.10.00,118450.27,120089.65,120089.65,85049.7746,246985.02
30.11.00,119202.78,120846.61,120846.61,85807.04101,248671.66
31.12.00,120072.58,121739.64,121739.64,86499.54088,250286.45
31.01.01,121168.56,122824.19,122824.19,87496.11838,251780.54
28.02.01,121924.36,123592.66,123592.66,87900.30247,252555.98
31.03.01,122686.1,124369.05,124369.05,88380.42462,254476.63
30.04.01,123301.98,124988.95,124988.95,88857.93252,256070.99
31.05.01,124019.43,125715.64,125715.64,89416.1682,257171.04
30.06.01,124782.61,126486.91,126486.91,89999.29573,258534.2
31.07.01,125465.37,127180.66,127180.66,90482.63526,259638.12
31.08.01,126091.4,127816.08,127816.08,90959.03647,261018.17
30.09.01,126725.52,128457.87,128457.87,91447.74468,262372.07
31.10.01,127327.8,129064.78,129064.78,91866.23636,263488.69
30.11.01,127943.08,129701.88,129701.88,92195.46084,264791.75
31.12.01,128394.57,130157.49,130157.49,92623.78614,266036.65
31.01.02,128762.41,130526.15,130526.15,92766.03604,267252.89
28.02.02,129286.56,131056.01,131056.01,93122.80539,268503.54
31.03.02,129836.92,131614.41,131614.41,93345.56845,269969.8
30.04.02,130405.73,132182.82,132182.82,93508.12317,270511.49
31.05.02,131193.85,132980.91,132980.91,94151.84164,271999.17
30.06.02,131854.13,133650.86,133650.86,94827.73392,273404
31.07.02,132498.23,134303.35,134303.35,95360.57726,274862.43
31.08.02,133253.34,135075.91,135075.91,95925.53779,276355.88
30.09.02,133986.39,135833.73,135833.73,96628.58892,277376.38
31.10.02,134703.64,136562.65,136562.65,96975.72464,279631.51
30.11.02,135612.64,137504.61,137504.61,97540.2029,282112.89
31.12.02,136318.39,138211.43,138211.43,97887.34104,283759.82
31.01.03,136973.71,138861.77,138861.77,98572.95989,283949.93
28.02.03,137485.45,139378.08,139378.08,99144.89112,286465.85
31.03.03,137852.57,139751.58,139751.58,99481.30571,287695.65
30.04.03,138574.85,140487.1,140487.1,100196.5755,289482.78
31.05.03,139770.09,142070.68,142070.68,101138.8551,291480.26
30.06.03,140661.04,142977.63,142977.63,101798.3267,293261.67
31.07.03,141187.35,143500.01,143500.01,102277.9718,294788.96
31.08.03,143025.03,145398.83,145398.83,102897.7571,296497.83
30.09.03,143769.84,146147.95,146147.95,103827.4225,298328.66
31.10.03,145105.74,147433.45,147433.45,104526.3174,300950.37
30.11.03,145552.42,147973.59,147973.59,105306.2584,302780.08
31.12.03,146024.34,148413.31,148413.31,105964.2949,303041.16
31.01.04,146746.76,149164.04,149164.04,105986.9412,304818.11
29.02.04,147409.36,149830.55,149830.55,106834.4475,309688.19
31.03.04,148084.38,150477.18,150477.18,107445.337,311968.22
30.04.04,149043.65,151484.03,151484.03,108435.7631,315855.39
31.05.04,150202.11,152574.56,152574.56,109035.0659,317228.33
30.06.04,152060.51,154612.53,154612.53,110424.4877,321303.88
31.07.04,152829.79,155341.38,155341.38,111741.5589,324792.08
31.08.04,154232.26,156672.8,156672.8,112022.71,326025.72
30.09.04,156487.5,159079.59,159079.59,113438.1757,330847.08
31.10.04,157489.95,160083.12,160083.12,114802.1545,333626.85
30.11.04,158832.19,161436.84,161436.84,115724.3989,337313.06
31.12.04,160250.62,162888.68,162888.68,116876.2776,337993.74
31.01.05,163384.13,166119.21,166119.21,117995.1831,340653.82
28.02.05,164389.07,166731.45,166731.45,119363.7995,342285.84
31.03.05,165378.54,168151.48,168151.48,120569.1123,346252.77
30.04.05,167583.06,170332.11,170332.11,121594.5845,349262.9
31.05.05,167720.05,170630.03,170630.03,122269.1667,352468.81
30.06.05,169562.79,172413.77,172413.77,122898.295,355279.99
31.07.05,171063.56,173940.57,173940.57,124051.0675,358460.41
31.08.05,172583.25,175497.58,175497.58,125413.3753,362007.85
30.09.05,174489.65,176997.63,176997.63,126968.2268,366736.67
31.10.05,175956.61,178948.75,178948.75,127995.6632,368849.68
30.11.05,177269.72,180271.15,180271.15,129073.4704,371544.77
31.12.05,177876.1,180745.91,180745.91,129906.5938,374244.66
31.01.06,178973.81,181855.57,181855.57,131049.9051,377000.14
28.02.06,179778.13,182659.25,182659.25,131662.445,379339.12
31.03.06,180891.8,183789.69,183789.69,132521.3606,382010.6
30.04.06,182445.17,185502.85,185502.85,133393.6496,384618.39
31.05.06,183225.29,186271.98,186271.98,134325.4872,387061.02
30.06.06,184118.76,187170.44,187170.44,134885.8832,389105.95
31.07.06,184799.95,187841.74,187841.74,135462.7595,390344.83
31.08.06,185185.67,188221.05,188221.05,135894.2197,391063.36
30.09.06,185672.93,188710.9,188710.9,136246.3249,391402.9
31.10.06,185093.41,188119.51,188119.51,136531.2025,391813.02
30.11.06,185430.63,188465.5,188465.5,136346.4332,392176.89
31.12.06,185363.88,188399.16,188399.16,136425.4987,391707.63
31.01.07,185119.25,188135.44,188135.44,136023.1128,391360.9
28.02.07,185599.82,188605.92,188605.92,136141.7139,391717.16
31.03.07,185746.31,188758.37,188758.37,136273.6169,392033.78
30.04.07,186031.92,189014.59,189014.59,136356.2139,392244.32
31.05.07,185713.78,188665.88,188665.88,136160.7072,391989.3
30.06.07,185321.58,188228.8,188228.8,136015.5434,391292.17
31.07.07,185404.35,188316.48,188316.48,136451.4678,389924.2
31.08.07,184398.39,187245.48,187245.48,135767.9069,387956.27
30.09.07,184597.74,187483,187483,135453.0123,387214.22
31.10.07,183963.03,186830.77,186830.77,135315.9364,385834.36
30.11.07,183162.72,186017.36,186017.36,134841.89,384249.61
31.12.07,182541.05,185392.45,185392.45,134122.5537,382660.22
31.01.08,181830,184650.17,184650.17,133276.7458,380506.96
29.02.08,180789.86,183613.44,183613.44,131147.1667,378324.36
31.03.08,180292.82,183118.1,183118.1,131143.2535,374452.97
30.04.08,179277.01,182075.26,182075.26,128894.4495,372093.83
31.05.08,178074.88,181082.17,181082.17,128221.746,369295.06
30.06.08,176336.42,179109.05,179109.05,127494.3257,365393.05
31.07.08,174314.03,177037.34,177037.34,126224.0182,362553.93
31.08.08,172516.42,175916.52,175916.52,125183.2964,359392
30.09.08,170802.27,173341.68,173341.68,124064.8145,356613.97
31.10.08,169224.89,171727.63,171727.63,122922.0022,351506.81
30.11.08,168133.04,170609.09,170609.09,121088.9002,348928.08
31.12.08,167456.72,170007.5,170007.5,120430.2649,345995.56
31.01.09,164294.11,166726.65,166726.65,116972.478,338828.7
28.02.09,162606.48,164944.05,164944.05,114846.068,334850.42
31.03.09,159269.62,160791.88,160791.88,113477.134,333003.84
30.04.09,158254.62,159747.83,159747.83,112725.3959,330762.02
31.05.09,157274.2,158801.86,158801.86,112130.1654,328780.01
30.06.09,155948.2,158058.2,158058.2,111294.6789,326344.09
31.07.09,154800,156900.37,156900.37,110225.7459,324407.15
31.08.09,153713.48,155804.95,155804.95,109367.3832,322116.16
30.09.09,152921.56,155007.48,155007.48,108539.3595,320887.25
31.10.09,152094.71,154175.07,154175.07,107846.8996,319476.76
30.11.09,151511.05,153585.29,153585.29,107318.6941,318504.99
31.12.09,151286.67,153363.07,153363.07,107100.6984,317622.48
31.01.10,151068.95,153148.14,153148.14,106689.6533,317466.56
28.02.10,150793.33,152829.18,152829.18,106202.639,317323.61
31.03.10,150608.63,152636.64,152636.64,105647.4075,317142.71
30.04.10,150392.63,152467.11,152467.11,105413.9068,317357.75
31.05.10,150058.34,152138.61,152138.61,105152.2093,317690.68
30.06.10,149870.6,151958.24,151958.24,104700.737,317374.77
31.07.10,149207.19,151284.34,151284.34,104195.5364,316402.45
31.08.10,148618.78,150689.15,150689.15,103564.1299,315254.44
30.09.10,148055.57,150119.81,150119.81,102966.8089,313613.5
31.10.10,147421.81,149479.45,149479.45,102198.881,312067.47
